organism_name	taxid	bioproject_accession	bioproject_id	group	subgroup	size_mb	gc	assembly_accession	replicons	wgs	scaffolds	genes	proteins	release_date	modify_date	status	center	biosample_accession
Salmo salar	8030	PRJNA287919	287919	Animals	Fishes	2966.89	43.8912	GCA_000233375.4	chromosome ssa01:NC_027300.1/CM003279.1; chromosome ssa02:NC_027301.1/CM003280.1; chromosome ssa03:NC_027302.1/CM003281.1; chromosome ssa04:NC_027303.1/CM003282.1; chromosome ssa05:NC_027304.1/CM003283.1; chromosome ssa06:NC_027305.1/CM003284.1; chromosome ssa07:NC_027306.1/CM003285.1; chromosome ssa08:NC_027307.1/CM003286.1; chromosome ssa09:NC_027308.1/CM003287.1; chromosome ssa10:NC_027309.1/CM003288.1; chromosome ssa11:NC_027310.1/CM003289.1; chromosome ssa12:NC_027311.1/CM003290.1; chromosome ssa13:NC_027312.1/CM003291.1; chromosome ssa14:NC_027313.1/CM003292.1; chromosome ssa15:NC_027314.1/CM003293.1; chromosome ssa16:NC_027315.1/CM003294.1; chromosome ssa17:NC_027316.1/CM003295.1; chromosome ssa18:NC_027317.1/CM003296.1; chromosome ssa19:NC_027318.1/CM003297.1; chromosome ssa20:NC_027319.1/CM003298.1; chromosome ssa21:NC_027320.1/CM003299.1; chromosome ssa22:NC_027321.1/CM003300.1; chromosome ssa23:NC_027322.1/CM003301.1; chromosome ssa24:NC_027323.1/CM003302.1; chromosome ssa25:NC_027324.1/CM003303.1; chromosome ssa26:NC_027325.1/CM003304.1; chromosome ssa27:NC_027326.1/CM003305.1; chromosome ssa28:NC_027327.1/CM003306.1; chromosome ssa29:NC_027328.1/CM003307.1; mitochondrion MT:NC_001960.1/U12143.1	AGKD04	241573	59213	97738	2011-10-25	2015-06-11	Chromosome	NCBI	SAMN02749551
Aplysia californica	6500	PRJNA13635	13635	Animals	Other Animals	927.31	41.9999	GCA_000002075.2	mitochondrion MT:NC_005827.1/AY569552.1	AASC03	4332	21325	27608	2006-08-17	2014-08-06	Scaffold	Broad Institute	SAMN02953658
Rhodnius prolixus	13249	PRJNA13648	13648	Animals	Insects	706.824	37.1	GCA_000181055.3	NA	ACPB03	16537	NA	NA	2009-06-17	2015-04-08	Scaffold	Washington University Genome Sequencing Center	SAMN02953759
Acyrthosiphon pisum	7029	PRJNA13657	13657	Animals	Insects	541.692	31.1995	GCA_000142985.2	mitochondrion MT:NC_011594.1/FJ411411.1	ABLF02	23925	20711	27999	2008-04-01	2014-08-04	Scaffold	Baylor College of Medicine	SAMN00000061
Nasonia vitripennis	7425	PRJNA13660	13660	Animals	Insects	295.781	43.2193	GCA_000002325.2	chromosome 1:NC_015867.2/CM000915.2; chromosome 2:NC_015868.2/CM000916.2; chromosome 3:NC_015869.2/CM000917.2; chromosome 4:NC_015870.2/CM000918.2; chromosome 5:NC_015871.2/CM000919.2	AAZX01	6169	14602	24891	2007-05-04	2014-08-04	Chromosome	Baylor College of Medicine	SAMN02902141
Otolemur garnettii	30611	PRJNA16955	16955	Animals	Mammals	2519.72	41.5	GCA_000181295.3	NA	AAQR03	7793	25777	26925	2006-06-02	2014-08-11	Scaffold	Broad Institute	SAMN02981229
Callithrix jacchus	9483	PRJNA20401	20401	Animals	Mammals	2914.96	41.3414	GCA_000004665.1	chromosome 1:NC_013896.1/CM000856.1; chromosome 2:NC_013897.1/CM000857.1; chromosome 3:NC_013898.1/CM000858.1; chromosome 4:NC_013899.1/CM000859.1; chromosome 5:NC_013900.1/CM000860.1; chromosome 6:NC_013901.1/CM000861.1; chromosome 7:NC_013902.1/CM000862.1; chromosome 8:NC_013903.1/CM000863.1; chromosome 9:NC_013904.1/CM000864.1; chromosome 10:NC_013905.1/CM000865.1; chromosome 11:NC_013906.1/CM000866.1; chromosome 12:NC_013907.1/CM000867.1; chromosome 13:NC_013908.1/CM000868.1; chromosome 14:NC_013909.1/CM000869.1; chromosome 15:NC_013910.1/CM000870.1; chromosome 16:NC_013911.1/CM000871.1; chromosome 17:NC_013912.1/CM000872.1; chromosome 18:NC_013913.1/CM000873.1; chromosome 19:NC_013914.1/CM000874.1; chromosome 20:NC_013915.1/CM000875.1; chromosome 21:NC_013916.1/CM000876.1; chromosome 22:NC_013917.1/CM000877.1; chromosome X:NC_013918.1/CM000878.1; chromosome Y:NC_013919.1/CM000879.1	ACFV01	16399	35188	45251	2010-01-21	2014-08-11	Chromosome	Washington University (WashU)	SAMN02981242
Tupaia belangeri	37347	PRJNA13971	13971	Animals	Mammals	2137.23	41.4	GCA_000181375.1	NA	AAPY01	841006	NA	NA	2006-06-08	2014-08-26	Contig	Broad Institute	SAMN03004381
Ictidomys tridecemlineatus	43179	PRJNA61725	61725	Animals	Mammals	2478.39	40.5	GCA_000236235.1	NA	AGTP01	12483	25998	38592	2011-11-25	2013-11-01	Scaffold	Broad Institute	SAMN00210855
Nomascus leucogenys	61853	PRJNA13975	13975	Animals	Mammals	2962.06	41.3958	GCA_000146795.3	chromosome 1a:NC_019816.1/CM001646.1; chromosome 2:NC_019817.1/CM001648.1; chromosome 3:NC_019818.1/CM001649.1; chromosome 4:NC_019819.1/CM001650.1; chromosome 5:NC_019820.1/CM001651.1; chromosome 6:NC_019821.1/CM001652.1; chromosome 7b:NC_019822.1/CM001653.1; chromosome 8:NC_019823.1/CM001654.1; chromosome 9:NC_019824.1/CM001655.1; chromosome 10:NC_019825.1/CM001656.1; chromosome 11:NC_019826.1/CM001657.1; chromosome 12:NC_019827.1/CM001658.1; chromosome 13:NC_019828.1/CM001659.1; chromosome 14:NC_019829.1/CM001660.1; chromosome 15:NC_019830.1/CM001661.1; chromosome 16:NC_019831.1/CM001662.1; chromosome 17:NC_019832.1/CM001663.1; chromosome 18:NC_019833.1/CM001664.1; chromosome 19:NC_019834.1/CM001665.1; chromosome 20:NC_019835.1/CM001666.1; chromosome 21:NC_019836.1/CM001667.1; chromosome 22a:NC_019837.1/CM001647.1; chromosome 23:NC_019838.1/CM001668.1; chromosome 24:NC_019839.1/CM001669.1; chromosome 25:NC_019840.1/CM001670.1; chromosome X:NC_019841.1/CM001671.1	ADFV01	17524	28462	38654	2010-08-31	2014-09-05	Chromosome	Gibbon Genome Sequencing Consortium	SAMN02981257
Heterorhabditis bacteriophora	37862	PRJNA13977	13977	Animals	Roundworms	76.9743	33.9	GCA_000223415.1	NA	ACKM01	1240	NA	NA	2011-08-16	2014-08-06	Scaffold	Washington University Genome Sequencing Center	SAMN02953756
Pediculus humanus corporis	121224	PRJNA16223	16223	Animals	Insects	110.781	27.9	GCA_000006295.1	NA	AAZO01	1882	10988	10775	2007-04-18	2014-08-06	Scaffold	The human body louse genome consortium	SAMN02953682
Ixodes scapularis	6945	PRJNA16232	16232	Animals	Other Animals	1765.38	46	GCA_000208615.1	NA	ABJB01	369492	24163	20467	2008-01-16	2015-04-16	Scaffold	Ixodes scapularis Genome Project	SAMN03004382
Oryzias latipes	8090	PRJNA16702	16702	Animals	Fishes	869.818	42.2741	GCA_000313675.1	chromosome 1:NC_019859.1/DG000001.5; chromosome 2:NC_019860.1/DG000002.5; chromosome 3:NC_019861.1/DG000003.5; chromosome 4:NC_019862.1/DG000004.5; chromosome 5:NC_019863.1/DG000005.5; chromosome 6:NC_019864.1/DG000006.5; chromosome 7:NC_019865.1/DG000007.5; chromosome 8:NC_019866.1/DG000008.5; chromosome 9:NC_019867.1/DG000009.5; chromosome 10:NC_019868.1/DG000010.5; chromosome 11:NC_019869.1/DG000011.5; chromosome 12:NC_019870.1/DG000012.5; chromosome 13:NC_019871.1/DG000013.5; chromosome 14:NC_019872.1/DG000014.5; chromosome 15:NC_019873.1/DG000015.5; chromosome 16:NC_019874.1/DG000016.5; chromosome 17:NC_019875.1/DG000017.5; chromosome 18:NC_019876.1/DG000018.5; chromosome 19:NC_019877.1/DG000019.5; chromosome 20:NC_019878.1/DG000020.5; chromosome 21:NC_019879.1/DG000021.5; chromosome 22:NC_019880.1/DG000022.5; chromosome 23:NC_019881.1/DG000023.5; chromosome 24:NC_019882.1/DG000024.5; mitochondrion MT:NC_004387.1/AP004421.1	BAAF04	7307	27528	40133	2006-04-11	2015-09-18	Chromosome	Medaka genome sequencing project	SAMD00036523
Myotis lucifugus	59463	PRJNA16951	16951	Animals	Mammals	2034.58	42.7	GCA_000147115.1	NA	AAPE02	11654	29200	41184	2006-06-01	2014-08-06	Scaffold	Broad Institute	SAMN02953645
Taenia solium	6204	PRJNA170813	170813	Animals	Flatworms	129.811	43	GCA_001870725.1	NA	MIEF01	13131	NA	NA	2016-11-07	2016-11-07	Scaffold	Taenia solium Genome Consortium	SAMN01090682
Bemisia tabaci	7038	PRJNA352527	352527	Animals	Insects	615.017	39.8996	GCA_001854935.1	mitochondrion MT:NC_006279.1/AY521259.2	MAMS01	19751	15153	22737	2016-10-26	2016-10-26	Scaffold	NCBI	SAMN04500967
Callorhinchus milii	7868	PRJNA18361	18361	Animals	Fishes	974.499	42.5998	GCA_000165045.2	mitochondrion MT:NC_014285.1/HM147137.1	AAVX02	21204	33094	28237	2007-01-05	2013-12-20	Scaffold	Institute of Molecular and Cell Biology, Singapore	SAMN00000800
Anolis carolinensis	28377	PRJNA18787	18787	Animals	Reptiles	1799.14	40.8238	GCA_000090745.2	chromosome 1:NC_014776.1/CM000937.1; chromosome 2:NC_014777.1/CM000938.1; chromosome 3:NC_014778.1/CM000939.1; chromosome 4:NC_014779.1/CM000940.1; chromosome 5:NC_014780.1/CM000941.1; chromosome 6:NC_014781.1/CM000942.1; linkage group a:NC_014782.1/CM000943.1; linkage group b:NC_014783.1/CM000944.1; linkage group c:NC_014784.1/CM000945.1; linkage group d:NC_014785.1/CM000946.1; linkage group f:NC_014786.1/CM000947.1; linkage group g:NC_014787.1/CM000948.1; linkage group h:NC_014788.1/CM000949.1; mitochondrion MT:NC_010972.2/EU747728.2	AAWZ02	6646	22092	34827	2007-02-15	2014-08-11	Chromosome	Broad Institute	SAMN02981230
Fundulus heteroclitus	8078	PRJNA286680	286680	Animals	Fishes	1021.9	41.2	GCA_000826765.1	mitochondrion MT:NC_012312.1/FJ445402.1	JXMV01	10180	25849	38234	2015-01-20	2015-01-21	Scaffold	NCBI	SAMN03277211
Pteropus vampyrus	132908	PRJNA20325	20325	Animals	Mammals	2198.28	40.5	GCA_000151845.2	NA	ABRP02	36094	23423	33311	2008-09-12	2014-12-05	Scaffold	Baylor College of Medicine	SAMN02894360
Lutzomyia longipalpis	7200	PRJNA20279	20279	Animals	Insects	154.229	35.9	GCA_000265325.1	NA	AJWK01	11532	NA	NA	2012-06-07	2013-11-01	Scaffold	Baylor College of Medicine	SAMN00008955
Nasonia giraulti	7426	PRJNA20223	20223	Animals	Insects	283.607	44.3	GCA_000004775.1	NA	ADAO01	4912	NA	NA	2009-11-10	2013-11-01	Scaffold	Baylor College of Medicine	SAMN00003081
Nasonia longicornis	7427	PRJNA20225	20225	Animals	Insects	285.726	44.1	GCA_000004795.1	NA	ADAP01	5214	NA	NA	2009-11-11	2013-11-01	Scaffold	Baylor College of Medicine	SAMN00003080
Hypsibius dujardini	232323	PRJNA360553	360553	Animals	Other Animals	104.155	44.5	GCA_002082055.1	NA	MTYJ01	1421	20089	20853	2017-04-07	2017-06-09	Scaffold	Keio University	SAMN06212344
Tursiops truncatus	9739	PRJNA359990	359990	Animals	Mammals	2132.52	40.9	GCA_001922835.1	mitochondrion MT:NC_012059.1/EU557093.1	MRVK01	2648	23994	38849	2016-12-28	2016-12-28	Scaffold	NCBI	SAMN06114300
Necator americanus	51031	PRJNA72135	72135	Animals	Roundworms	244.075	41.3	GCA_000507365.1	NA	ANCG01	11864	19472	19153	2013-12-13	2014-08-06	Scaffold	The Genome Institute at Washington University	SAMN02953824
Ochotona princeps	9978	PRJNA74593	74593	Animals	Mammals	2229.84	44	GCA_000292845.1	mitochondrion MT:NC_005358.1/AJ537415.1	ALIT01	10421	21374	25691	2012-08-13	2013-11-01	Scaffold	Broad Institute	SAMN00767999
Microcebus murinus	30608	PRJNA19967	19967	Animals	Mammals	2487.41	41.3423	GCA_000165445.3	chromosome 1:NC_033660.1/CM007661.1; chromosome 2:NC_033661.1/CM007662.1; chromosome 3:NC_033662.1/CM007663.1; chromosome 4:NC_033663.1/CM007664.1; chromosome 5:NC_033664.1/CM007665.1; chromosome 6:NC_033665.1/CM007666.1; chromosome 7:NC_033666.1/CM007667.1; chromosome 8:NC_033667.1/CM007668.1; chromosome 9:NC_033668.1/CM007669.1; chromosome 10:NC_033669.1/CM007670.1; chromosome 11:NC_033670.1/CM007671.1; chromosome 12:NC_033671.1/CM007672.1; chromosome 13:NC_033672.1/CM007673.1; chromosome 14:NC_033673.1/CM007674.1; chromosome 15:NC_033674.1/CM007675.1; chromosome 16:NC_033675.1/CM007676.1; chromosome 17:NC_033676.1/CM007677.1; chromosome 18:NC_033677.1/CM007678.1; chromosome 19:NC_033678.1/CM007679.1; chromosome 20:NC_033679.1/CM007680.1; chromosome 21:NC_033680.1/CM007681.1; chromosome 22:NC_033681.1/CM007682.1; chromosome 23:NC_033682.1/CM007683.1; chromosome 24:NC_033683.1/CM007684.1; chromosome 25:NC_033684.1/CM007685.1; chromosome 26:NC_033685.1/CM007686.1; chromosome 27:NC_033686.1/CM007687.1; chromosome 28:NC_033687.1/CM007688.1; chromosome 29:NC_033688.1/CM007689.1; chromosome 30:NC_033689.1/CM007690.1; chromosome 31:NC_033690.1/CM007691.1; chromosome 32:NC_033691.1/CM007692.1; chromosome X:NC_033692.1/CM007693.1; mitochondrion MT:NC_028718.1/KR911908.1	ABDC03	7678	31854	59023	2007-07-20	2017-02-06	Chromosome	Broad Institute	SAMN06275470
Dictyocaulus viviparus	29172	PRJNA72587	72587	Animals	Roundworms	160.964	35	GCA_000816705.1	NA	AZAF01	7157	14418	14171	2015-01-07	2016-03-03	Scaffold	The Genome Institute	SAMN02873952
Oesophagostomum dentatum	61180	PRJNA72579	72579	Animals	Roundworms	443.017	42.8	GCA_000797555.1	NA	JOOK01	64255	25508	25289	2014-12-05	2014-12-15	Scaffold	The Genome Institute	SAMN02866218
Limulus polyphemus	6850	PRJNA20489	20489	Animals	Other Animals	1828.27	34.5	GCA_000517525.1	mitochondrion MT:NC_003057.1/AF216203.1	AZTN01	286793	26051	38682	2013-12-30	2014-08-06	Scaffold	Washington University (WashU)	SAMN02953878
Priapulus caudatus	37621	PRJNA20497	20497	Animals	Other Animals	511.738	45.6996	GCA_000485595.2	mitochondrion MT:NC_008557.1/DQ463747.1	AXZU02	59587	17109	20692	2013-10-25	2015-11-19	Scaffold	Washington University (WashU)	SAMN02953874
Strigamia maritima	126957	PRJNA20501	20501	Animals	Other Animals	176.211	35.8	GCA_000239455.1	NA	AFFK01	14739	NA	NA	2011-12-22	2013-11-01	Scaffold	Baylor College of Medicine	SAMN00009008
Bubalus bubalis	89462	PRJNA223666	223666	Animals	Mammals	2836.17	42.2	GCA_000471725.1	mitochondrion MT:NC_006295.1/AY702618.1	AWWX01	366983	28453	41499	2013-09-27	2013-09-30	Scaffold	NCBI	SAMN02191888
Dipodomys ordii	10020	PRJNA20385	20385	Animals	Mammals	2236.37	42.6	GCA_000151885.2	NA	ABRO02	65193	23266	29351	2008-09-18	2014-12-12	Scaffold	Baylor College of Medicine	SAMN02900551
Macaca fascicularis	9541	PRJNA20409	20409	Animals	Mammals	2946.84	41.3398	GCA_000364345.1	chromosome 1:NC_022272.1/CM001919.1; chromosome 2:NC_022273.1/CM001920.1; chromosome 3:NC_022274.1/CM001921.1; chromosome 4:NC_022275.1/CM001922.1; chromosome 5:NC_022276.1/CM001923.1; chromosome 6:NC_022277.1/CM001924.1; chromosome 7:NC_022278.1/CM001925.1; chromosome 8:NC_022279.1/CM001926.1; chromosome 9:NC_022280.1/CM001927.1; chromosome 10:NC_022281.1/CM001928.1; chromosome 11:NC_022282.1/CM001929.1; chromosome 12:NC_022283.1/CM001930.1; chromosome 13:NC_022284.1/CM001931.1; chromosome 14:NC_022285.1/CM001932.1; chromosome 15:NC_022286.1/CM001933.1; chromosome 16:NC_022287.1/CM001934.1; chromosome 17:NC_022288.1/CM001935.1; chromosome 18:NC_022289.1/CM001936.1; chromosome 19:NC_022290.1/CM001937.1; chromosome 20:NC_022291.1/CM001938.1; chromosome X:NC_022292.1/CM001939.1; mitochondrion MT:NC_012670.1/FJ906803.1	AQIA01	7625	33107	62703	2013-05-20	2013-06-12	Chromosome	Washington University (WashU)	SAMN00811240
Galeopterus variegatus	482537	PRJNA20511	20511	Animals	Mammals	3187.66	41.2	GCA_000696425.1	mitochondrion MT:NC_004031.1/AJ428849.1	JMZW01	179514	28608	32104	2014-05-23	2014-06-05	Scaffold	Washington University (WashU)	SAMN01758971
Melitaea cinxia	113334	PRJNA191594	191594	Animals	Insects	389.908	33.6995	GCA_000716385.1	mitochondrion MT:CM002851.1	APLT01	8261	NA	NA	2014-06-26	2014-09-25	Scaffold	University of Helsinki	SAMN01932438
Heterodera glycines	51029	PRJNA28939	28939	Animals	Roundworms	81.908	37.5	GCA_000150805.1	NA	ABLA01	34708	NA	NA	2008-03-20	2014-08-06	Scaffold	Monsanto	SAMN02953723
Diaphorina citri	121845	PRJNA29447	29447	Animals	Insects	485.705	38.5	GCA_000475195.1	NA	AWGM01	161988	19661	20622	2013-09-29	2013-10-22	Scaffold	International Psyllid Genome Consortium	SAMN00100712
Vicugna pacos	30538	PRJNA30567	30567	Animals	Mammals	2172.21	41.7	GCA_000164845.3	mitochondrion MT:NC_002504.1/Y19184.1	ABRR02	276725	24553	33208	2008-09-24	2014-08-04	Scaffold	Washington University (WashU)	SAMN01096418
Choloepus hoffmanni	9358	PRJNA30809	30809	Animals	Mammals	3286.01	40	GCA_000164785.2	NA	ABVD02	269084	NA	NA	2008-09-15	2014-09-30	Scaffold	Broad Institute	SAMN02146716
Varroa destructor	109461	PRJDB6279	412476	Animals	Other Animals	368.942	40.8991	GCA_002443255.1	mitochondrion MT:NC_004454.2/AJ493124.2	BEIS01	1426	12849	30221	2017-09-27	2017-09-27	Scaffold	Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology	SAMD00093521
Gorilla gorilla gorilla	9595	PRJNA350851	350851	Animals	Mammals	3063.36	41.2224	GCA_000151905.3	chromosome 1:NC_018424.2/FR853080.2; chromosome MT:LN611626.1; chromosome 2A:NC_018425.2/FR853094.2; chromosome 2B:NC_018426.2/FR853095.2; chromosome 3:NC_018427.2/FR853096.2; chromosome 4:NC_018428.2/FR853097.2; chromosome 5:NC_018429.2/FR853098.3; chromosome 6:NC_018430.2/FR853099.2; chromosome 7:NC_018431.2/FR853100.2; chromosome 8:NC_018432.2/FR853101.2; chromosome 9:NC_018433.2/FR853102.2; chromosome 10:NC_018434.2/FR853081.2; chromosome 11:NC_018435.2/FR853082.2; chromosome 12:NC_018436.2/FR853083.2; chromosome 13:NC_018437.2/FR853084.2; chromosome 14:NC_018438.2/FR853085.2; chromosome 15:NC_018439.2/FR853086.2; chromosome 16:NC_018440.2/FR853087.2; chromosome 17:NC_018441.2/FR853088.3; chromosome 18:NC_018442.2/FR853089.2; chromosome 19:NC_018443.2/FR853090.2; chromosome 20:NC_018444.2/FR853091.2; chromosome 21:NC_018445.2/FR853092.2; chromosome 22:NC_018446.2/FR853093.2; chromosome X:NC_018447.2/FR853103.2; mitochondrion MT:NC_011120.1/X93347.1	CABD03	40730	31893	46533	2008-10-19	2015-01-30	Chromosome	NCBI	SAMEA2272491
Procavia capensis	9813	PRJNA13972	13972	Animals	Mammals	3602.18	41.8	GCA_000152225.2	NA	ABRQ02	65694	NA	NA	2008-09-19	2014-12-16	Scaffold	Baylor College of Medicine	SAMN02894304
Mchenga conophoros	35575	PRJNA29477	29477	Animals	Fishes	73.4256	41.8	GCA_000150855.1	NA	ABPJ01	61923	NA	NA	2008-06-20	2014-08-04	Scaffold	Cichlid Genome Consortium	SAMN02743801
Wuchereria bancrofti	6293	PRJNA275548	275548	Animals	Roundworms	90.3251	29.1	GCA_001555675.1	NA	LAQH01	5105	NA	NA	2016-02-09	2016-02-09	Scaffold	Case Western Reserve University	SAMN03349691
Mayetiola destructor	39758	PRJNA45867	45867	Animals	Insects	185.828	35.9	GCA_000149185.1	NA	AEGA01	24475	NA	NA	2010-09-29	2014-08-06	Scaffold	Baylor College of Medicine	SAMN02953781
Anopheles darlingi	43151	PRJNA46227	46227	Animals	Insects	136.936	48.3	GCA_000211455.3	NA	ADMH02	2220	10672	10444	2010-11-22	2014-07-29	Contig	LNCC	SAMN02945024
Labeotropheus fuelleborni	57307	PRJNA29479	29479	Animals	Fishes	70.8584	42.1	GCA_000150875.1	NA	ABPK01	58245	NA	NA	2008-06-20	2014-08-01	Scaffold	Cichlid Genome Consortium	SAMN02743802
Melanochromis auratus	27751	PRJNA29481	29481	Animals	Fishes	68.2386	41.5	GCA_000150895.1	NA	ABPL01	63297	NA	NA	2008-06-20	2014-08-01	Scaffold	Cichlid Genome Consortium	SAMN02743803
Maylandia zebra	106582	PRJNA60369	60369	Animals	Fishes	859.842	41.4002	GCA_000238955.3	mitochondrion MT:CM003499.1; mitochondrion MT:NC_027944.1/KT166981.1	AGTA03	3555	26932	42889	2011-12-01	2015-10-06	Scaffold	Broad Institute	SAMN03892560
Rhamphochromis esox	163638	PRJNA29485	29485	Animals	Fishes	71.2951	42.3	GCA_000150935.1	NA	ABPN01	55751	NA	NA	2008-06-23	2014-08-01	Scaffold	Cichlid Genome Consortium	SAMN02743805
Nothobranchius furzeri	105023	PRJEB5837	304522	Animals	Fishes	1242.52	44.8104	GCA_001465895.2	chromosome sgr01:NC_029649.1/LN609383.1; chromosome sgr02:NC_029650.1/LN609382.1; chromosome sgr03:NC_029651.1/LN609391.1; chromosome sgr04:NC_029652.1/LN609393.1; chromosome sgr05:NC_029653.1/LN609377.1; chromosome sgr06:NC_029654.1/LN609381.1; chromosome sgr07:NC_029655.1/LN609387.1; chromosome sgr08:NC_029656.1/LN609384.1; chromosome sgr09:NC_029657.1/LN609379.1; chromosome sgr10:NC_029658.1/LN609385.1; chromosome sgr11:NC_029659.1/LN609378.1; chromosome sgr12:NC_029660.1/LN609394.1; chromosome sgr13:NC_029661.1/LN609389.1; chromosome sgr14:NC_029662.1/LN609392.1; chromosome sgr15:NC_029663.1/LN609388.1; chromosome sgr16:NC_029664.1/LN609380.1; chromosome sgr17:NC_029665.1/LN609395.1; chromosome sgr18:NC_029666.1/LN609386.1; chromosome sgr19:NC_029667.1/LN609390.1; mitochondrion MT:NC_011814.1/EU650204.1	CCSH01	6013	25026	36873	2015-12-01	2016-02-02	Chromosome	Leibniz Institute on Aging – Fritz Lipmann Institute (FLI)	SAMEA2698544
Nothobranchius kuhntae	321403	PRJNA33401	33401	Animals	Fishes	5.23461	44.8	GCA_000173855.1	NA	ACDA01	5934	NA	NA	2009-03-17	2014-08-11	Scaffold	Leibniz Institute for Age Research - Fritz Lipmann Institute, Jena, Germany	SAMN02981241
Clonorchis sinensis	79923	PRJDA72781	72781	Animals	Flatworms	547.288	44	GCA_000236345.1	NA	BADR02	4348	13634	13634	2011-09-03	2015-09-16	Scaffold	Department of Parasitology, Zhongshan School of Medicine, Sun Yat-sen University	SAMD00036587
Dicentrarchus labrax	13489	PRJEB5099	243422	Animals	Fishes	675.917	40.4	GCA_000689215.1	NA	CBXY01	25	NA	NA	2014-04-07	2015-03-05	Scaffold	MPI-PZ	SAMEA3271076
Gadus morhua	8049	PRJNA41391	41391	Animals	Fishes	824.311	46.3	GCA_000231765.1	NA	CAEA01	427427	NA	NA	2011-08-25	2016-06-25	Scaffold	Genofisk	SAMEA3138401
Anopheles stephensi	30069	PRJNA167914	167914	Animals	Insects	221.324	45	GCA_000300775.2	NA	ALPR02	23371	NA	NA	2012-10-01	2014-10-22	Scaffold	Virgina Tech	SAMN02195186
Loa loa	7209	PRJNA37757	37757	Animals	Roundworms	91.3658	31.6	GCA_000183805.3	NA	ADBU02	5764	15030	15440	2010-02-03	2014-07-08	Scaffold	Broad Institute	SAMN00103043
Onchocerca volvulus	6282	PRJEB513	226660	Animals	Roundworms	96.3406	29.8	GCA_000499405.2	NA	CBVM02	674	NA	NA	2013-11-05	2015-01-30	Scaffold	WTSI	SAMEA3138812
Anopheles funestus	62324	PRJNA67223	67223	Animals	Insects	225.224	42.8	GCA_000349085.1	NA	APCI01	1392	NA	NA	2013-03-25	2016-11-29	Scaffold	Broad Institute	SAMN01087923
Amphimedon queenslandica	400682	PRJNA39517	39517	Animals	Other Animals	166.7	37.5008	GCA_000090795.1	mitochondrion MT:NC_008944.1/DQ915601.1	ACUQ01	13398	24608	24116	2010-05-19	2014-05-05	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02743868
Steinernema carpocapsae	34508	PRJNA202318	202318	Animals	Roundworms	85.9347	45.5	GCA_000757645.1	NA	AZBU01	1562	NA	NA	2014-09-24	2015-10-01	Scaffold	California Institute of Technology	SAMN03032171
Ailuropoda melanoleuca	9646	PRJNA38683	38683	Animals	Mammals	2299.51	41.7	GCA_000004335.1	mitochondrion MT:NC_009492.1/EF212882.1	ACTA01	81467	24774	36506	2009-12-12	2013-11-01	Scaffold	Beijing Genomics Institute, Shenzhen	SAMN00008160
Tetranychus urticae	32264	PRJEA71041	71041	Animals	Other Animals	90.8286	32.4976	GCA_000239435.1	mitochondrion MT:NC_010526.1/EU345430.1	CAEY01	641	13395	15054	2011-12-02	2011-12-02	Scaffold	Spider mite consortium	SAMEA2272276
Drosophila albomicans	7291	PRJNA39511	39511	Animals	Insects	253.56	39.4	GCA_000298335.1	NA	ACVV01	26354	NA	NA	2012-09-18	2014-08-04	Scaffold	Kunming Institute of Zoology, Chinese Academy of Sciences	SAMN00003213
Lepeophtheirus salmonis	72036	PRJNA280127	280127	Animals	Other Animals	665.13	30.7	GCA_001005205.1	NA	LBBX01	83165	NA	NA	2015-05-08	2015-05-08	Contig	University of Victoria	SAMN03457014
Pogonomyrmex barbatus	144034	PRJNA45797	45797	Animals	Insects	235.646	37.2	GCA_000187915.1	NA	ADIH01	4645	12524	18978	2011-02-04	2014-08-06	Scaffold	The Ant Genomics Consortium	SAMN02953770
Linepithema humile	83485	PRJNA45799	45799	Animals	Insects	219.501	37.9	GCA_000217595.1	NA	ADOQ01	3030	12976	21674	2011-06-07	2014-05-08	Scaffold	The Ant Genomics Consortium	SAMN02767796
Ceratitis capitata	7213	PRJNA168120	168120	Animals	Insects	479.048	36.2995	GCA_000347755.2	mitochondrion MT:NC_000857.1/AJ242872.1	AOHK01	1806	14017	22782	2013-03-20	2017-11-06	Scaffold	The i5k Initiative	SAMN02953830
Bombus terrestris	30195	PRJNA45869	45869	Animals	Insects	248.654	38.0986	GCA_000214255.1	linkage group LG B01:NC_015762.1/CM001169.1; linkage group LG B02:NC_015763.1/CM001170.1; linkage group LG B03:NC_015764.1/CM001171.1; linkage group LG B04:NC_015765.1/CM001172.1; linkage group LG B05:NC_015766.1/CM001173.1; linkage group LG B06:NC_015767.1/CM001174.1; linkage group LG B07:NC_015768.1/CM001175.1; linkage group LG B08:NC_015769.1/CM001176.1; linkage group LG B09:NC_015770.1/CM001177.1; linkage group LG B10:NC_015771.1/CM001178.1; linkage group LG B11:NC_015772.1/CM001179.1; linkage group LG B12:NC_015773.1/CM001180.1; linkage group LG B13:NC_015774.1/CM001181.1; linkage group LG B14:NC_015775.1/CM001182.1; linkage group LG B15:NC_015776.1/CM001183.1; linkage group LG B16:NC_015777.1/CM001184.1; linkage group LG B17:NC_015778.1/CM001185.1; linkage group LG B18:NC_015779.1/CM001186.1	AELG01	5678	11816	22091	2010-12-10	2015-04-27	Chromosome	Baylor College of Medicine	SAMN00009041
